-84,-90,-68
-86,-89,-74
-87,-88,-70
-81,-87,-78
-80,-88,-76
-81,-86,-77
-79,-90,-78
-80,-89,-78
-80,-89,-75
-81,-89,-76
-80,-89,-75
-81,-90,-78
-80,-89,-77
-79,-90,-75
-79,-89,-79
-80,-89,-77
-81,-89,-76
-80,-90,-75
-80,-88,-74
-80,-90,-75
-79,-86,-75
-79,-91,-76
-79,-90,-76
-80,-91,-78
-79,-86,-76
-79,-88,-76
-80,-88,-75
-79,-86,-76
-80,-87,-74
-80,-90,-74
-80,-89,-75
-80,-88,-75
-79,-88,-78
-81,-88,-75
-81,-85,-78
-80,-86,-78
-80,-88,-76
-80,-86,-78
-80,-88,-74
-81,-87,-79
-80,-89,-78
-79,-87,-76
-79,-89,-76
-79,-90,-76
-78,-88,-76
-79,-89,-78
-80,-88,-77
-81,-89,-76
-81,-86,-75
-80,-86,-76
-80,-88,-74
-80,-87,-75
-80,-89,-75
-81,-89,-75
-80,-87,-78
-80,-89,-78
-81,-90,-76
-79,-89,-79
-79,-89,-78
-79,-86,-78
-81,-89,-76
-78,-90,-75
-79,-87,-76
-79,-87,-78
-78,-89,-77
-80,-90,-78
-79,-87,-78
-78,-87,-78
-80,-89,-75
-80,-89,-75
-81,-86,-76
-81,-87,-77
-80,-90,-79
-79,-88,-77
-79,-89,-77
-80,-87,-75
-79,-87,-76
-80,-88,-77
-80,-87,-79
-79,-90,-77
-80,-87,-79
-79,-90,-79
-80,-90,-75
-80,-88,-76
-80,-88,-77
-79,-90,-75
-79,-90,-77
-79,-90,-76
-80,-87,-75
-80,-90,-77
-79,-90,-79
-79,-90,-75
-79,-86,-76
-79,-87,-76
-80,-90,-79
-79,-88,-76
-79,-91,-77
-79,-90,-77
-79,-89,-77
-80,-90,-79
-79,-87,-79
-80,-90,-75
-80,-90,-74
-80,-90,-73
-82,-91,-74
-79,-87,-75
-79,-86,-75
-80,-88,-73
-80,-92,-75
-79,-89,-77
-79,-87,-77
-80,-86,-74
-79,-87,-73
-80,-88,-74
-80,-89,-74
-80,-89,-78
-79,-87,-74
-79,-88,-78
-79,-87,-75
-81,-87,-77
-79,-85,-78
-79,-86,-77
-80,-87,-74
-80,-87,-74
-80,-88,-75
-80,-86,-78
-79,-87,-74
-80,-87,-74
-79,-88,-73
-79,-88,-74
-79,-86,-73
-79,-86,-75
-79,-86,-75
-80,-88,-74
-80,-89,-75
-79,-87,-77
-79,-87,-75
-79,-86,-77
-80,-88,-77
-79,-87,-74
-79,-87,-75
-80,-87,-77
-80,-87,-77
-79,-87,-75
-79,-87,-74
-80,-86,-77
-79,-86,-76
-80,-86,-80
-80,-87,-72
-79,-85,-77
-80,-91,-77
-79,-88,-78
-79,-86,-76
-79,-86,-75
-80,-88,-75
-79,-89,-75
-79,-85,-77
-79,-86,-73
-80,-88,-77
-78,-87,-74
-79,-87,-78
-79,-87,-76
-80,-88,-74
-80,-89,-74
-80,-87,-74
-80,-88,-76
-80,-88,-74
-79,-89,-74
-79,-87,-75
-80,-88,-75
-80,-86,-74
-79,-89,-74
-79,-87,-75
-79,-86,-77
-79,-87,-75
-79,-89,-75
-79,-87,-74
-80,-90,-75
-80,-88,-77
-79,-86,-74
-80,-88,-77
-80,-87,-73
-79,-86,-77
-80,-88,-75
-80,-86,-75
-80,-85,-73
-79,-90,-74
-80,-87,-75
-79,-87,-75
-80,-87,-75
-80,-87,-76
-80,-89,-75
-80,-87,-75
-80,-87,-74
-79,-86,-77
-80,-88,-75
-79,-87,-75
-79,-88,-75
-80,-89,-75
-79,-88,-77
-79,-86,-74
-80,-86,-75
-80,-88,-74
-79,-86,-77
-80,-88,-77
-80,-89,-75
-79,-90,-75
-79,-86,-74
-80,-88,-74
-79,-88,-75
-80,-89,-73
-80,-89,-74
-79,-86,-73
-79,-87,-75
-79,-87,-75
-79,-87,-77
-79,-89,-76
-81,-89,-75
-79,-86,-77
-79,-89,-77
-79,-87,-75
-79,-85,-77
-79,-86,-74
-79,-88,-74
-80,-86,-74
-80,-86,-73
-80,-87,-77
-80,-87,-74
-79,-86,-74
-80,-86,-74
-79,-86,-73
-79,-87,-74
-79,-86,-77
-79,-86,-75
-80,-85,-77
-79,-86,-75
-79,-87,-75
-80,-87,-75
-80,-89,-77
-80,-86,-75
-79,-86,-78
-79,-87,-75
-79,-85,-77
-79,-85,-75
-79,-86,-75
-79,-88,-73
-79,-86,-74
-79,-86,-74
-79,-86,-77
-80,-86,-77
-79,-87,-77
-80,-85,-77
-79,-85,-75
-79,-85,-76
-80,-88,-75
-80,-89,-74
-79,-87,-77
-79,-86,-77
-79,-86,-76
-79,-88,-75
-79,-87,-75
-80,-88,-77
-78,-87,-73
-79,-87,-76
-79,-87,-75
-79,-86,-75
-80,-87,-75
-78,-86,-73
-79,-89,-73
-80,-88,-73
-79,-86,-74
-79,-87,-77
-79,-86,-73
-79,-85,-75
-79,-88,-75
-80,-87,-77
-79,-87,-76
-79,-87,-77
-80,-87,-73
-80,-89,-77
-79,-87,-75
-80,-86,-75
-80,-89,-73
-80,-90,-77
-81,-87,-75
-81,-88,-74
-81,-87,-77
-80,-88,-74
-79,-88,-73
